idx,질문,카테고리
75,못 먹거나 안 먹는 음식이 있습니까? 그 이유는 무엇입니까?,음식
76,"한국에 온 후, 처음 먹은 한국 음식은 무엇이었습니까? 언제 어디에서, 누구와, 왜 먹게 되었는지 이야기해 보세요.",음식
77,간식을 자주 먹나요? 어떤 간식을 좋아하나요? 그 간식을 좋아하는 이유는 무엇인가요?,모의고사
78,내가 좋아하는 음식이지만 건강에 나쁜 음식이 있나요? 그 음식이 왜 건강에 나쁜가요?,음식
125,"처음 한국에 도착했을 때, 입국 심사에서는 어떤 질문을 받았나요?",본인
80,"여행을 가면 주로 여름에 갑니까, 겨울에 갑니까? 그 이유는 무엇입니까?",여행
129,한국에서 장을 볼 때 어디를 이용하나요? 이유도 말해 주세요.,본인
82,갔다 온 여행지 중 다시 가고 싶은 곳은 어디입니까? 그 이유는 무엇입니까?,여행
83,일주일 동안 휴가가 주어진다면 무엇을 하고 싶나요? 그 이유도 말해 주세요.,논술
84,여가 시간에 배우고 싶은 것은 무엇인가요? 왜 그것을 배우고 싶나요?,취미
133,한국에서 산 물건 중에서 가장 마음에 드는 것은 무엇입니까? 왜 그렇습니까?,본인
86,한 달에 건강을 위해 쓰는 돈의 금액은 어느 정도입니까? 무엇에 쓰는 돈입니까?,본인
87,"코로나19가 해결된다면 가장 가고 싶은 곳은 어디인지, 가장 하고 싶은 것은 무엇인지 말해 보세요.",여행
135,여러분이 생일에 가장 받고 싶은 선물은 무엇인가요?,본인
89,직업을 고를 때 가장 중요한 것은 무엇이라고 생각하나요?,회사
90,혼자 일하는 것과 다른 사람과 함께 일하는 것 중에서 어느 것이 더 좋습니까? 왜 그렇습니까?,모의고사
91,한국에서 취직하기 위해서 어떤 준비가 필요하다고 생각하시나요?,배경지식
92,한국에서 외식하면 보통 어떤 음식을 자주 먹습니까? 왜 그렇습니까?,음식
93,"식사는 주로 밖에서 사 먹는 편입니까, 아니면 직접 요리해서 먹습니까? 왜 그렇습니까?",음식
94,최근에 갔던 식당은 어떤 음식을 파는 곳인가요? 그 식당에서 무엇을 먹었나요?,음식
95,어떤 날씨를 좋아하나요? 그 이유는 무엇인지 두 가지로 설명해 주세요.,논술
150,당신의 가장 친한 친구는 어떤 사람인가요? 어떻게 친해지게 되었나요?,본인
97,계획하고 가는 여행과 갑자기 가는 여행 중에서 무엇을 더 좋아합니까? 그 이유는 무엇입니까?,여행
98,복잡한 도시와 조용한 시골 중에서 어느 장소가 여행하기 좋다고 생각합니까? 왜 그렇습니까?,여행
99,"여행하면서 가장 맛있게 먹은 음식은 무엇이 있습니까? 언제, 어디에서, 무엇을 먹었습니까?",모의고사
100,해외여행 중 만약 여권을 잃어버렸다면 어떻게 해야 하나요? 본인이 여권을 잃어버렸다고 가정하고 어떻게 할지 말씀해 주세요.,여행
101,한국에서 가본 곳 중 재미있었던 곳은 어디인가요? 이유는 무엇인가요?,한국
102,앞으로 한국에서 가보고 싶은 곳은 어디인가요? 왜 그곳에 가보고 싶나요?,모의고사
103,한국에서 여행 중에 구매한 기념품이 있습니까? 그것을 산 이유는 무엇입니까?,여행
104,"부산 여행을 간다면, 1시간 정도 비행기를 타고 가는 것과, 2시간 30분 정도 기차를 타고 가는 것 중 어느 방법을 선택하실 건가요? 이유는 무엇인가요?",시험
105,아플 때 자주 다니는 병원은 어디에 있습니까? 거기까지 어떻게 갑니까?,교통
152,여러분은 어떤 칭찬이 가장 듣기 좋은가요?,모의고사
107,병원을 이용할 때 가장 불편한 점은 무엇입니까? 두 가지 이상 말해 주세요.,논술
157,한국의 후식 중에 좋아하는 것은 무엇이고 그 이유는 무엇입니까?,본인
165,보통 하루에 몇 시간 동안 잠을 자나요? 얼마나 자는 것이 건강에 도움이 된다고 생각하시나요?,본인
110,식당에서 혼자 밥을 먹어 본 적이 있나요? 언제 그랬는지 말해 주세요.,음식
111,한국에 살면서 가장 편했던 점은 무엇인가요? 그 이유는 무엇인가요?,한국
112,한국에 살면서 가장 불편했던 점은 무엇인가요? 그 이유는 무엇인가요?,한국
113,본인의 인생에서 꼭 해보고 싶은 일은 무엇인가요? 두 가지 이상 말해 주세요.,본인
169,나의 몸을 건강하게 유지하기 위해서 어떤 노력을 기울이고 있나요? 나만의 건강 관리 비법을 말해 보세요.,모의고사
115,한국에서 가장 많이 이용하는 인터넷 사이트나 앱은 무엇인가요? 그 이유는 무엇인가요?,배경지식
116,외국에 있는 친구에게 한국을 소개한다면 가장 먼저 소개하고 싶은 것은 무엇인가요? 그 이유는 무엇인가요?,한국
117,한국에서 고향에 보낼 선물을 고른다면 무엇을 고르겠습니까? 그 이유는 무엇입니까?,한국
118,한국에 와서 새로웠던 것은 무엇이 있나요? 그 이유는 무엇인가요?,한국
173,외국인 등록증을 발급받았나요? 어디서 어떻게 받았나요? 얼마나 걸렸나요?,본인
120,한국어 실력을 늘리기 위해서 어떤 노력이 필요하다고 생각하시나요?,모의고사
121,한국어를 배울 때 어떤 발음이 가장 배우기 힘들었나요? 그리고 그 이유는 무엇인가요?,한국
122,한글의 글자 중에 모양이 제일 예쁘다고 생각하는 글자는 무엇인가요? 왜 그렇게 생각하세요?,한국
123,한국어를 배워서 좋은 점을 세 가지 말해 주세요.,한국
124,책이 필요할 때 어디에서 구매하시나요? 이유를 말해 주세요.,모의고사
176,한국 통장을 개설했나요? 통장을 개설하기 위해 무엇이 필요했나요?,본인
126,한국에 처음 도착해서 공항에서 이용한 교통수단은 무엇이었습니까? 왜 그 교통수단을 선택했는지 말해 주세요.,여행
127,한국 공항에서 좋았던 점과 불편했던 점을 각각 말해 주세요.,여행
128,지금 살고 있는 집에서 인천공항까지 어떻게 갈 수 있나요? 가는 방법을 말해 주세요.,모의고사
177,한국 통장을 처음 개설한 것이 언제인가요? 어디에서 했나요?,모의고사
130,"사고 싶은 물건이 생겼을 때, 그 물건을 사기 위해서 주로 어디에서 정보를 얻습니까? 그 이유는 무엇인가요?",배경지식
131,"물건을 살 때, 온라인과 오프라인 구매 중에서 어느 방법을 더 자주 이용합니까? 그 이유는 무엇인가요?",논술
132,한국에서 쇼핑하기 좋은 장소는 어디라고 생각합니까? 그 이유는 무엇입니까?,배경지식
182,한국에서 행정적인 문제로 어려움을 겪은 일이 있나요? 어떤 어려움이었나요?,본인
134,집 근처에 있는 한식당은 어떤 음식을 파는 어떤 곳입니까? 간단하게 소개해 보세요.,음식
215,가장 기억에 남는 한국어 선생님에 대해 얘기해 주세요.,본인
136,여러분이 생일에 가장 가고 싶은 곳이 어디인가요?,본인
137,가장 최근에 택시를 탔을 때는 언제였나요? 왜 택시를 타셨나요? 어디에서 어디로 가셨나요?,본인
138,외국인으로서 한국에서 가장 이용하기 불편한 교통수단은 무엇인가요? 왜 그렇게 생각하시나요?,배경지식
139,서울에서 가장 많이 사용하거나 본 지하철역은 어디인가요? 어떤 이유로 자주 이 역을 가 보았나요?,교통
140,한국에서 버스나 지하철을 이용했을 때 가장 인상 깊었던 점은 무엇이었나요?,한국
141,버스나 지하철을 이용할 때 어떻게 요금을 내시나요?,교통
142,한국의 지하철과 버스 이용료에 대해 어떻게 생각하시나요? 여러분이 살던 곳과 비교하면 더 비싼가요? 싼가요?,배경지식
143,고향에서는 어떤 대중교통을 가장 많이 이용하나요? 한국과는 어떻게 다른가요?,배경지식
144,평소에 무엇을 위해 돈을 가장 많이 쓰나요? 그 이유는 무엇인가요?,본인
145,지금 꼭 사고 싶은 물건이 있나요? 그것은 무엇인지 이유와 함께 말해 보세요.,모의고사
146,쇼핑할 때 어떤 물건을 구경하는 것을 제일 좋아하세요? 왜 그렇습니까?,논술
147,옷을 살 때 가장 중요하게 생각하는 것은 무엇인가요?,논술
148,"외국에서는 가격이 비싼데, 한국에서 싼 것은 무엇인가요? 그 이유는 무엇이라고 생각하나요?",모의고사
149,"외국에서는 가격이 싼데, 한국에서 비싸다고 생각하는 것은 무엇인가요? 그 이유는 뭐라고 생각하나요?",모의고사
226,스트레스를 해소하는 방법에는 어떤 것들이 있을까요? 나만의 스트레스 해소 방법이 있다면 말해 주세요.,본인
151,한국 날씨와 여러분의 고향의 날씨를 비교하면 무엇이 같고 무엇이 다른가요?,배경지식
229,친구들을 만나면 주로 무엇을 하면서 놉니까? 자주 하는 것을 세 가지 말해 주세요.,본인
153,사람들이 명품을 좋아하는 이유는 무엇이라고 생각하세요?,배경지식
154,한국에서 미용실에 얼마나 자주 갑니까? 편하게 생각하는 미용실 이용 시간은 언제입니까? 왜 그렇습니까?,모의고사
155,영화를 주로 어디에서 보세요? 왜 그렇습니까?,모의고사
156,한국에 와서 가장 많이 먹는 한국 음식은 무엇인가요? 왜 그 음식을 자주 드세요?,모의고사
230,한국에 온 후 주말을 보내는 방식이 이전과 비교해서 어떻게 달라졌나요?,본인
158,한국에서 옷을 살 때 어디서 주로 사나요? 거기서 옷을 사는 이유를 두 가지 이상 말해 주세요.,모의고사
243,"한국에서는 태어나서 첫 생일을 특별하게 기념합니다. 여러분의 나라에서는 특별하게 보내는 생일이 언제이며, 무엇을 합니까?",본인
160,한국에서 외식할 때 식당에 가서 먹나요? 배달을 시키시나요? 포장하시나요? 왜 그 방법으로 하는지 이유를 두 가지 이상 말해 주세요.,음식
161,"한국에는 다양한 라면이 있는데, 어떤 라면을 먹어보았나요? 그 맛에 대해 설명해 주세요.",음식
262,지금까지 살아오면서 가장 후회하는 선택이 있다면 무엇인가요? 아니면 가장 잘했다고 생각하는 선택은 무엇인가요?,모의고사
163,어떤 운동이 건강에 큰 도움이 된다고 생각합니까? 운동 두 가지와 이유를 말해 보세요.,취미
164,몸이 아플 때 병원과 약국 중에서 어디를 먼저 갑니까? 왜 그렇습니까?,모의고사
267,"사람들과 함께 식당에서 식사하려고 할 때 다른 사람이 주문하는 메뉴에 맞추는 편입니까, 내가 먹고 싶은 것을 꼭 먹는 편입니까? 왜 그렇습니까?",본인
166,당신은 아침과 저녁 중 언제를 더 좋아하나요? 왜 그때가 더 좋은가요?,모의고사
167,최근에 마지막으로 울었던 적이 언제인가요? 왜 울었나요?,본인
168,"적게 먹는 다이어트는 건강에 도움이 된다고 생각합니까, 아닙니까? 이유를 말해 보세요.",음식
289,당신이 제일 싫어하는 채소는 무엇인가요? 이유를 말해 주세요.,본인
170,건강을 위해서 걷기와 스트레칭 중 어느 운동이 더 좋다고 생각합니까? 왜 그렇게 생각합니까?,논술
171,당신의 장점 세 가지를 알려 주세요.,모의고사
172,출입국 외국인청에 가본 적이 있나요? 왜 갔나요? 가서 무엇을 했나요?,모의고사
297,산에 올라가는 등산을 좋아하나요? 싫어하나요? 그 이유는 무엇인가요?,본인
174,한국에서 여러분의 이름으로 휴대폰을 개통했나요? 휴대폰을 개통하기 위해 어떤 준비가 필요했나요?,배경지식
175,한국 휴대폰을 개통할 때 가장 어려웠던 점은 무엇인가요?,모의고사
310,"한국에는 느린 것을 싫어하는, ‘빨리빨리’ 문화가 있는데요, 이런 문화에 대해 어떻게 생각하시나요?",본인
315,친구와 오랫동안 좋은 관계를 유지하기 위해 필요한 것은 무엇이라고 생각하나요?,본인
178,한국 인터넷 사이트에서 회원가입을 해본 적이 있나요? 어떤 점이 어려웠나요?,한국
179,"한국에서 취직해본 적이 있나요? 어떤 일을 했나요? 취직한 적이 없다면, 한국에서 무슨 일을 하는지 말해 주세요.",모의고사
180,"주민센터, 동사무소, 구청, 시청 등 관공서에 가본 적이 있나요? 왜 갔나요? 무엇을 했나요?",모의고사
181,여러분은 한국 이름이 있나요? 무엇인가요? 어떻게 그 이름을 짓게 됐나요? 없다면 어떤 한국 이름을 가지고 싶나요?,한국
327,여러분이 가장 좋아하는 과목은 무엇입니까? 어떤 점이 좋습니까?,본인
183,만들 수 있는 한국 요리가 있나요? 어떻게 요리하는지 설명해 주세요.,음식
184,몸이 아플 때 어떤 음식을 먹고 싶나요? 한국 음식 중에서 말해 주세요. 왜 그 음식을 골랐는지 이유도 말해 주세요.,음식
185,한국 길거리 음식 중에 좋아하는 것은 무엇인가요? 그 이유도 말해 주세요.,음식
186,국수와 밥 중 무엇을 더 좋아하시나요? 이유를 말해 주세요.,음식
187,한국 회사 중에 아는 회사가 있나요? 회사 이름과 그 회사에서 만드는 물건이나 제공하는 서비스를 말해 보세요.,배경지식
188,"당신이 취직한다면, 어떤 상사와 함께 일하고 싶습니까? 어떤 사람이 좋은 보스라고 생각하세요?",회사
189,한국의 법정 근로시간은 주 40시간입니다. 여러분은 일주일에 몇 시간 일하는 것이 적당하다고 생각합니까? 왜 그렇게 생각합니까?,모의고사
190,"2021년 기준 한국의 최저임금은 시간당 8,720원입니다. 이 금액은 적당하다고 생각하시나요? 왜 그렇게 생각하나요?",배경지식
191,한국에 오기 전에 어떤 일을 하셨나요?,회사
192,최근 일어난 일 중 인생에서 가장 의미 있는 사건은 무엇인가요?,모의고사
331,거짓말을 해 본 적이 있나요? 가장 자주 하는 거짓말은 무엇인가요?,본인
194,여러분이 살던 나라의 택시 이용료는 한국보다 비싼가요? 싼가요? 그곳에서 택시를 30분 탄다면 요금이 얼마 나올 것 같은가요?,모의고사
195,한국에서 운전해본 적이 있나요? 앞으로 운전을 하고 싶으신가요? 이유를 말해 주세요.,모의고사
196,고향의 수도와 비교하면 서울시의 교통체증은 어떠한가요? 어느 도시의 도로 상황이 더 낫다고 생각하시나요? 이유는 무엇인가요?,배경지식
197,서울에서 돌아다녀야 한다면 어떤 교통수단이 제일 좋으신가요? 그 수단을 좋아하는 이유는 무엇인가요?,여행
198,"물건을 살 때, 가장 중요하게 생각하는 것은 무엇입니까? 그 이유는 무엇인가요?",논술
199,"물건을 살 때 여러 매장에서 가격을 꼼꼼히 비교하는 편인가요, 아닌가요? 그 이유는 무엇입니까?",모의고사
200,"걸어서 20분, 버스를 타고 8분 걸리는 거리가 있다면, 걸어가겠습니까? 아니면 버스를 타고 가겠습니까? 그 이유가 무엇인가요?",모의고사
201,한국에서 취직한다면 월급을 얼마 정도 받고 싶으세요? 왜 그렇게 생각합니까?,모의고사
202,외국인이 한국에서 직장 생활을 할 때 가장 힘든 점이나 적응하기 어려운 점은 무엇이라고 생각하나요?,회사
203,코로나 때문에 바뀐 것 중에서 가장 불편한 것을 두 가지 말해 보세요.,모의고사
204,혼자 살 때와 가족과 함께 살 때의 좋은 점과 나쁜 점은 무엇인가요?,모의고사
340,한국 사람들은 숫자 4를 싫어합니다. 여러분의 고향에서도 사람들이 특별히 싫어하거나 좋아하는 숫자가 있나요? 좋아하거나 싫어하는 이유를 말해 주세요.,본인
206,당신이 한국에 온 후에 가장 힘들었던 것은 무엇인가요? 그 이유는 무엇이었나요?,모의고사
207,한국에 와서 가장 놀라웠던 것은 무엇인가요? 그 이유는 무엇인가요?,한국
208,한국에 처음 왔을 때 느꼈던 한국 사람들의 첫인상은 어땠나요? 왜 그렇게 생각했나요?,한국
209,외국인이 한국 생활에 잘 적응하기 위해서 어떤 노력을 하면 좋다고 생각합니까? 생각나는 방법을 모두 말해 주세요.,한국
210,한국에서 살면서 여러분 스스로가 변한 점이 있나요? 왜 그렇게 변했나요?,모의고사
211,카카오톡을 써본 적이 있으세요? 카카오톡의 장점과 단점을 한 가지씩 말해 주세요.,모의고사
354,여러분은 '꿈의 집'이 있나요? 여러분이 살고 싶은 집은 어떤 모습인가요?,모의고사
213,한국의 자연환경과 살던 나라의 자연환경의 다른 점은 무엇인가요? 두 가지 이상 말해 주세요.,모의고사
366,당신의 가장 소중한 추억은 무엇인가요?,본인
369,오랫동안 꼭 해보고 싶다!라고 생각한 것이 있나요? 왜 아직까지 하지 못했나요?,본인
216,한국어를 듣고 말하는 것과 읽고 쓰는 것 중 더 어렵게 느껴지는 것은 무엇인가요? 이유를 말해 주세요.,모의고사
217,한국어를 배우면서 가장 도움이 되었던 방법이 무엇인가요? 왜 그 방법이 가장 도움이 되었나요?,모의고사
218,본인이 가장 자주 하는 한국말은 무엇인가요? 왜 그 말을 자주 하나요?,논술
219,한국 사람들과 대화할 때 어려운 점이 있나요? 가장 어려운 점은 무엇인가요?,모의고사
220,한국어에서 제일 좋아하는 표현은 무엇인가요? 왜 그 표현을 좋아하세요?,배경지식
221,한국어에서는 상대방에 따라서 존댓말을 사용하기도 하고 반말을 사용하기도 합니다. 한국의 존댓말 또는 반말 문화에 대해 어떻게 생각하세요?,한국
222,제일 아름다웠던 풍경을 어디서 보았나요? 그 풍경에 관해 설명해 주세요.,모의고사
223,한국에서 카페에 가본 적이 있나요? 누구와 왜 갔나요? 무엇을 마셨나요?,모의고사
224,본인이 가장 받고 싶은 선물은 무엇인가요? 왜 그 선물을 받고 싶으세요?,모의고사
225,"쉬는 날, 집에 있게 되면 보통 무엇을 하면서 시간을 보냅니까? 왜 그렇습니까?",모의고사
370,전화를 걸기 전에 무슨 말을 할지 미리 연습한 적이 있나요? 어떤 경우였나요?,본인
227,하루 중 가장 행복한 시간은 언제인가요? 그 시간에 무엇을 하나요? 왜 그 시간이 행복한가요?,모의고사
228,연극 관람이나 미술관 방문을 자주 하는 편인가요? 여가 시간에 어떤 문화생활을 즐기고 있나요? 두 가지 이상 말해 보세요.,취미
85,일주일에 커피를 얼마나 마시나요? 너무 많이 마신다고 생각된다면 어느 정도가 적당하다고 생각하나요?,논술
205,한국에서는 몇 시까지 밖에서 노는 것이 안전하다고 생각합니까? 그 이유는 무엇입니까?,논술
231,한국에서 편의점을 자주 이용하나요? 편의점의 장점과 단점은 무엇입니까?,배경지식
232,한국에서 먹어 본 음식 중 가장 잘 맞았던 음식은 무엇인가요? 그 이유는 무엇인가요?,모의고사
233,한국에서 먹어 본 음식 중 가장 안 맞았던 음식은 무엇인가요? 그 이유는 무엇인가요?,음식
234,지금까지 먹어 본 것 중에서 가장 매운 한국 음식은 무엇인가요? 어떻게 그 음식을 먹게 되었나요?,음식
235,짧은 여행과 긴 여행 중에서 어떤 여행을 더 좋아합니까? 왜 그렇습니까?,여행
236,한국에서 여행할 때 주로 서울 내에서 여행하시나요? 아니면 다른 도시들로 여행을 가시나요? 그 이유는 무엇인가요?,여행
237,지금까지 가본 서울에 있는 관광지 중에서 어디가 가장 마음에 듭니까? 그 이유는 무엇입니까?,모의고사
238,"외국에서 친구나 가족이 한국으로 여행 왔을 때, 데려가고 싶은 곳은 어디인가요? 그 이유는 무엇인가요?",여행
239,한국의 숙박업소에 묵어본 적이 있으신가요? 어땠나요?,모의고사
240,여러분 나라의 학교와 한국의 학교는 무엇이 가장 다릅니까?,모의고사
241,여러분 나라에서 인기가 많은 직업은 무엇입니까? 세 가지만 말해 보세요. 왜 그 직업이 인기가 많습니까?,모의고사
242,여러분의 나라에는 한 해의 마지막 날과 새해 첫날 무엇을 합니까?,모의고사
212,한국에서는 먹는 것을 보여주는 먹방 동영상들이 인기입니다. 한국 먹방 채널이 왜 유명해진 것 같습니까? 먹방에 대한 본인의 생각은 무엇입니까?,논술
244,여러분의 나라와 한국의 날씨는 어떻게 다릅니까?,배경지식
245,한국에서 혼자 길을 찾아간 적이 있나요? 보통 어떻게 찾아가나요?,교통
246,한국에서는 표지판이나 안내문을 보고 길을 찾기 쉬운 편인가요? 그 이유는 무엇인가요?,모의고사
247,서울의 버스는 거리별로 색깔이 다릅니다. 이전에 살던 곳의 버스도 색깔이 다양한가요? 한국의 버스들과는 어떻게 비슷하거나 다른가요?,배경지식
248,서울에서 어떤 색깔의 택시를 보셨나요? 다른 나라 도시에서 본 택시 색깔을 모두 말해 보세요.,교통
249,"한국에 오신 후, 음식이 잘 맞거나 맞지 않아서 체중 변화가 있으셨나요? 어떤 이유 때문인 것 같나요?",음식
250,한국 음식 중 못 먹는 음식 두 가지와 그 이유를 설명해 주세요.,모의고사
251,지금까지 한국에서 먹어 본 요리 중에 가장 기억에 남는 요리는 무엇입니까? 그 요리가 기억에 남는 이유는 무엇입니까?,음식
252,"소고기, 돼지고기, 닭고기 중 어떤 고기가 제일 맛있나요? 이유를 말해 주세요. 만약 고기를 못 드신다면, 고기를 먹지 않는 이유를 말해 주세요.",음식
253,한국의 휴가철은 고향의 휴가철과 분위기가 어떻게 다른가요? 비슷한 점과 다른 점을 말해 주세요.,배경지식
